"Pick","Team","Player","College","Season"
"7","TOR","Damon Stoudamire","University of Arizona",1995
"8","POR","Shawn Respert","Michigan State University",1995
"9","NJN","Ed O'Bannon","University of California, Los Angeles",1995
"10","MIA","Kurt Thomas","Texas Christian University",1995
"11","MIL","Gary Trent","Ohio University",1995
"12","DAL","Cherokee Parks","Duke University",1995
"13","SAC","Corliss Williamson","University of Arkansas",1995
"14","BOS","Eric Williams","Providence College",1995
"15","DEN","Brent Barry","Oregon State University",1995
"16","ATL","Alan Henderson","Indiana University",1995
"17","CLE","Bob Sura","Florida State University",1995
"18","DET","Theo Ratliff","University of Wyoming",1995
"19","DET","Randolph Childress","Wake Forest University",1995
"20","CHI","Jason Caffey","University of Alabama",1995
"21","PHO","Michael Finley","University of Wisconsin",1995
"22","CHH","George Zidek","University of California, Los Angeles",1995
"23","IND","Travis Best","Georgia Institute of Technology",1995
"24","DAL","Loren Meyer","Iowa State University",1995
"25","ORL","David Vaughn","University of Memphis",1995
"26","SEA","Sherell Ford","University of Illinois at Chicago",1995
"27","PHO","Mario Bennett","Arizona State University",1995
"28","UTA","Greg Ostertag","University of Kansas",1995
"29","SAS","Cory Alexander","University of Virginia",1995
"30","DET","Lou Roe","University of Massachusetts Amherst",1995
"31","CHI","Dragan Tarlac","",1995
"32","WSB","Terrence Rencher","University of Texas at Austin",1995
"33","BOS","Junior Burrough","University of Virginia",1995
"34","GSW","Andrew DeClercq","University of Florida",1995
"35","TOR","Jimmy King","University of Michigan",1995
"36","VAN","Lawrence Moten","Syracuse University",1995
"37","LAL","Frankie King","Western Carolina University",1995
"38","MIL","Rashard Griffith","University of Wisconsin",1995
"39","CLE","Donny Marshall","University of Connecticut",1995
"40","GSW","Dwayne Whitfield","Jackson State University",1995
"41","HOU","Erik Meek","Duke University",1995
"42","ATL","Donnie Boyce","University of Colorado",1995
"43","MIL","Eric Snow","Michigan State University",1995
"44","DEN","Anthony Pelle","California State University, Fresno",1995
"45","ATL","Troy Brown","Providence College",1995
"46","MIA","George Banks","University of Texas at El Paso",1995
"47","SAC","Tyus Edney","University of California, Los Angeles",1995
"48","MIN","Mark Davis","Texas Tech University",1995
"49","MIN","Jerome Allen","University of Pennsylvania",1995
"50","GSW","Martin Lewis","Seward County Community College",1995
"51","SAC","Dejan Bodiroga","",1995
"52","IND","Fred Hoiberg","Iowa State University",1995
"53","LAC","Constantin Popa","University of Miami",1995
"54","SEA","Aurelijius Zukauskas","",1995
"55","GSW","Michael McDonald","University of New Orleans",1995
"56","PHO","Chris Carr","Southern Illinois University",1995
"57","ATL","Cuonzo Martin","Purdue University",1995
"58","DET","Don Reid","Georgetown University",1995
"1","PHI","Allen Iverson","Georgetown University",1996
"2","TOR","Marcus Camby","University of Massachusetts Amherst",1996
"3","VAN","Shareef Abdur-Rahim","University of California",1996
"4","MIL","Stephon Marbury","Georgia Institute of Technology",1996
"5","MIN","Ray Allen","University of Connecticut",1996
"6","BOS","Antoine Walker","University of Kentucky",1996
"7","LAC","Lorenzen Wright","University of Memphis",1996
"8","NJN","Kerry Kittles","Villanova University",1996
"9","DAL","Samaki Walker","University of Louisville",1996
"10","IND","Erick Dampier","Mississippi State University",1996
"11","GSW","Todd Fuller","North Carolina State University",1996
"12","CLE","Vitaly Potapenko","Wright State University",1996
"13","CHH","Kobe Bryant","",1996
"14","SAC","Peja Stojakovic","",1996
"15","PHO","Steve Nash","Santa Clara University",1996
"16","CHH","Tony Delk","University of Kentucky",1996
"17","POR","Jermaine O'Neal","",1996
"18","NYK","John Wallace","Syracuse University",1996
"19","NYK","Walter McCarty","University of Kentucky",1996
"20","CLE","Zydrunas Ilgauskas","",1996
"21","NYK","Dontae' Jones","Mississippi State University",1996
"22","VAN","Roy Rogers","University of Alabama",1996
"23","DEN","Efthimi Rentzias","",1996
"24","LAL","Derek Fisher","University of Arkansas at Little Rock",1996
"25","UTA","Martin Muursepp","",1996
"26","DET","Jerome Williams","Georgetown University",1996
"27","ORL","Brian Evans","Indiana University",1996
"28","ATL","Priest Lauderdale","Central State University",1996
"29","CHI","Travis Knight","University of Connecticut",1996
"30","HOU","Othella Harrington","Georgetown University",1996
"31","PHI","Mark Hendrickson","Washington State University",1996
"32","PHI","Ryan Minor","University of Oklahoma",1996
"33","MIL","Moochie Norris","University of West Florida",1996
"34","DAL","Shawn Harvey","West Virginia State University",1996
"35","SEA","Joseph Blair","University of Arizona",1996
"36","LAC","Doron Sheffer","University of Connecticut",1996
"37","DEN","Jeff McInnis","University of North Carolina",1996
"38","BOS","Steve Hamer","University of Tennessee",1996
"39","PHO","Russ Millard","University of Iowa",1996
"40","GSW","Marcus Mann","Mississippi Valley State University",1996
"41","SAC","Jason Sasser","Texas Tech University",1996
"42","HOU","Randy Livingston","Louisiana State University",1996
"43","PHO","Ben Davis","University of Arizona",1996
"44","CHH","Malik Rose","Drexel University",1996
"45","SEA","Joe Vogel","Colorado State University",1996
"46","POR","Marcus Brown","Murray State University",1996
"47","SEA","Ron Riley","Arizona State University",1996
"48","PHI","Jamie Feick","Michigan State University",1996
"49","ORL","Amal McCaskill","Marquette University",1996
"50","HOU","Terrell Bell","University of Georgia",1996
"51","VAN","Chris Robinson","Western Kentucky University",1996
"52","IND","Mark Pope","University of Kentucky",1996
"53","MIL","Jeff Nordgaard","University of Wisconsin-Green Bay",1996
"54","UTA","Shandon Anderson","University of Georgia",1996
"55","WSB","Ronnie Henderson","Louisiana State University",1996
"56","CLE","Reggie Geary","University of Arizona",1996
"57","SEA","Drew Barry","Georgia Institute of Technology",1996
"58","DAL","Darnell Robinson","University of Arkansas",1996
"1","SAS","Tim Duncan","Wake Forest University",1997
"2","PHI","Keith Van Horn","University of Utah",1997
"3","BOS","Chauncey Billups","University of Colorado",1997
"4","VAN","Antonio Daniels","Bowling Green State University",1997
"5","DEN","Tony Battie","Texas Tech University",1997
"6","BOS","Ron Mercer","University of Kentucky",1997
"7","NJN","Tim Thomas","Villanova University",1997
"8","GSW","Adonal Foyle","Colgate University",1997
"9","TOR","Tracy McGrady","",1997
"10","MIL","Danny Fortson","University of Cincinnati",1997
"11","SAC","Tariq Abdul-Wahad","San Jose State University",1997
"12","IND","Austin Croshere","Providence College",1997
"13","CLE","Derek Anderson","University of Kentucky",1997
"14","LAC","Maurice Taylor","University of Michigan",1997
"15","DAL","Kelvin Cato","Iowa State University",1997
"16","CLE","Brevin Knight","Stanford University",1997
"17","ORL","Johnny Taylor","University of Tennessee at Chattanooga",1997
"18","POR","Chris Anstey","",1997
"19","DET","Scot Pollard","University of Kansas",1997
"20","MIN","Paul Grant","University of Wisconsin",1997
"21","NJN","Anthony Parker","Bradley University",1997
"22","ATL","Ed Gray","University of California",1997
"23","SEA","Bobby Jackson","University of Minnesota",1997
"24","HOU","Rodrick Rhodes","University of Southern California",1997
"25","NYK","John Thomas","University of Minnesota",1997
"26","MIA","Charles Smith","University of New Mexico",1997
"27","UTA","Jacque Vaughn","University of Kansas",1997
"28","CHI","Keith Booth","University of Maryland",1997
"29","HOU","Serge Zwikker","University of North Carolina",1997
"30","MIA","Mark Sanford","University of Washington",1997
"31","DET","Charles O'Bannon","University of California, Los Angeles",1997
"32","DEN","James Cotton","California State University, Long Beach",1997
"33","PHI","Marko Milic","",1997
"34","DAL","Bubba Wells","Austin Peay State University",1997
"35","PHI","Kebu Stewart","California State University, Bakersfield",1997
"36","PHI","James Collins","Florida State University",1997
"37","GSW","Marc Jackson","Temple University",1997
"38","MIL","Jerald Honeycutt","Tulane University",1997
"39","SAC","Anthony Johnson","College of Charleston",1997
"40","SEA","Eddie Elisma","Georgia Institute of Technology",1997
"41","DEN","Jason Lawson","Villanova University",1997
"42","PHO","Stephen Jackson","Butler County Community College",1997
"43","MIN","Gordon Malone","West Virginia University",1997
"44","CLE","Cedric Henderson","University of Memphis",1997
"45","WAS","God Shammgod","Providence College",1997
"46","ORL","Eric Washington","University of Alabama",1997
"47","POR","Alvin Williams","Villanova University",1997
"48","WAS","Predrag Drobnjak","",1997
"49","ATL","Alain Digbeu","",1997
"50","ATL","Chris Crawford","Marquette University",1997
"51","LAL","DeJuan Wheat","University of Louisville",1997
"52","VAN","C.J. Bruton","Indian Hills Community College",1997
"53","LAL","Paul Rogers","Gonzaga University",1997
"54","SEA","Mark Blount","University of Pittsburgh",1997
"55","BOS","Ben Pepper","",1997
"56","UTA","Nate Erdmann","University of Oklahoma",1997
"57","CHI","Roberto Duenas","",1997
"1","LAC","Michael Olowokandi","University of the Pacific",1998
"2","VAN","Mike Bibby","University of Arizona",1998
"3","DEN","Raef LaFrentz","University of Kansas",1998
"4","TOR","Antawn Jamison","University of North Carolina",1998
"5","GSW","Vince Carter","University of North Carolina",1998
"6","DAL","Robert Traylor","University of Michigan",1998
"7","SAC","Jason Williams","University of Florida",1998
"8","PHI","Larry Hughes","Saint Louis University",1998
"9","MIL","Dirk Nowitzki","",1998
"10","BOS","Paul Pierce","University of Kansas",1998
"11","DET","Bonzi Wells","Ball State University",1998
"12","ORL","Michael Doleac","University of Utah",1998
"13","ORL","Keon Clark","University of Nevada, Las Vegas",1998
"14","HOU","Michael Dickerson","University of Arizona",1998
"15","ORL","Matt Harpring","Georgia Institute of Technology",1998
"16","HOU","Bryce Drew","Valparaiso University",1998
"17","MIN","Rasho Nesterovic","",1998
"18","HOU","Mirsad Turkcan","",1998
"19","MIL","Pat Garrity","University of Notre Dame",1998
"20","ATL","Roshown McLeod","Duke University",1998
"21","CHH","Ricky Davis","University of Iowa",1998
"22","LAC","Brian Skinner","Baylor University",1998
"23","DEN","Tyronn Lue","University of Nebraska",1998
"24","SAS","Felipe Lopez","St. John's University",1998
"25","IND","Al Harrington","",1998
"26","LAL","Sam Jacobson","University of Minnesota",1998
"27","SEA","Vladimir Stepania","",1998
"28","CHI","Corey Benjamin","Oregon State University",1998
"29","UTA","Nazr Mohammed","University of Kentucky",1998
"30","DAL","Ansu Sesay","University of Mississippi",1998
"31","LAL","Ruben Patterson","University of Cincinnati",1998
"32","SEA","Rashard Lewis","",1998
"33","SEA","Jelani McCoy","University of California, Los Angeles",1998
"34","CHI","Shammond Williams","University of North Carolina",1998
"35","DAL","Bruno Sundov","",1998
"36","SAC","Jerome James","Florida Agricultural and Mechanical University",1998
"37","PHI","Casey Shaw","University of Toledo",1998
"38","NYK","DeMarco Johnson","University of North Carolina at Charlotte",1998
"39","MIL","Rafer Alston","California State University, Fresno",1998
"40","DET","Korleone Young","",1998
"41","HOU","Cuttino Mobley","University of Rhode Island",1998
"42","ORL","Miles Simon","University of Arizona",1998
"43","WAS","Jahidi White","Georgetown University",1998
"44","NYK","Sean Marks","University of California",1998
"45","LAL","Toby Bailey","University of California, Los Angeles",1998
"46","MIN","Andrae Patterson","Indiana University",1998
"47","TOR","Tyson Wheeler","University of Rhode Island",1998
"48","CLE","Ryan Stack","University of South Carolina",1998
"49","ATL","Cory Carr","Texas Tech University",1998
"50","CHH","Andrew Betts","California State University, Long Beach",1998
"51","MIA","Corey Brewer","University of Oklahoma",1998
"52","SAS","Derrick Dial","Eastern Michigan University",1998
"53","DAL","Greg Buckner","Clemson University",1998
"54","DEN","Tremaine Fowlkes","California State University, Fresno",1998
"55","DEN","Ryan Bowen","University of Iowa",1998
"56","VAN","J.R. Henderson","University of California, Los Angeles",1998
"57","UTA","Torraye Braggs","Xavier University",1998
"58","CHI","Maceo Baston","University of Michigan",1998
"1","CHI","Elton Brand","Duke University",1999
"2","VAN","Steve Francis","University of Maryland",1999
"3","CHH","Baron Davis","University of California, Los Angeles",1999
"4","LAC","Lamar Odom","University of Rhode Island",1999
"5","TOR","Jonathan Bender","",1999
"6","MIN","Wally Szczerbiak","Miami University",1999
"7","WAS","Richard Hamilton","University of Connecticut",1999
"8","CLE","Andre Miller","University of Utah",1999
"9","PHO","Shawn Marion","University of Nevada, Las Vegas",1999
"10","ATL","Jason Terry","University of Arizona",1999
"11","CLE","Trajan Langdon","Duke University",1999
"12","TOR","Aleksandar Radojevic","Barton County Community College",1999
"13","SEA","Corey Maggette","Duke University",1999
"14","MIN","William Avery","Duke University",1999
"15","NYK","Frederic Weis","",1999
"16","CHI","Metta World Peace","St. John's University",1999
"17","ATL","Cal Bowdler","Old Dominion University",1999
"18","DEN","James Posey","Xavier University",1999
"19","UTA","Quincy Lewis","University of Minnesota",1999
"20","ATL","Dion Glover","Georgia Institute of Technology",1999
"21","GSW","Jeff Foster","Texas State University",1999
